,cluster_number,lesion_label,lesion_volume,lesion_centroid,RLoc,angleA,heightR,critical_index,sign,Alarm,,,,,,cos2.15x,,,tanh
0,14,13,0.473528137,[ 222.79136691  276.46282974   18.        ],[-0.98304094 -0.18306728  0.01081149],79.45090469,0.5,1,-1,0,,-0.38683556,,,,-0.4704953,,-0.457742062,
0,15,9,0.38381897,[ 231.16863905  294.15976331   30.        ],[-0.96554737  0.25709214  0.040273  ],-75.09003365,0.833333333,0,-1,0,,-0.285062009,,,,-0.37384173,,-0.364564365,
0,16,9,0.32136322,[ 248.08480565  135.86572438   21.58303887],[-0.05194593 -0.99864653  0.00259458],2.977632912,0.599528857,0,-1,0,,-0.000433876,,,,-0.001001978,,-0.005202044,
0,17,12,0.262314148,[ 163.13419913  318.83549784   26.        ],[-0.96635873  0.25654825  0.01827003],-75.13211542,0.722222222,1,-1,0,,-0.195006678,,,,-0.255561139,,-0.24920625,
0,18,17,0.245280762,[ 249.23148148  140.12962963   23.54166667],[-0.04646589 -0.99891221  0.00391282],2.663279027,0.653935185,0,-1,0,,-0.000264937,,,,-0.000611937,,-0.003852216,
0,19,17,0.237331848,[ 341.00956938  251.76555024   26.        ],[ 0.95714704 -0.28959063 -0.00260848],-73.16649195,0.722222222,1,1,0,,0.168602535,,,,0.228146118,,0.223110847,
0,20,12,0.214620667,[ 291.83597884  311.71428571   26.        ],[ 0.53317875  0.84592022  0.01180685],32.22299971,0.722222222,1,1,0,,0.033056049,,,,0.069342828,,0.047840499,
0,CONT6,,,,,,,,,,,0,-78.6297808,,,0,95.92660709,0,90.02906396
0,1,13,45.54367065,[ 148.83412346  297.31280677   25.82362007],[-0.89714914  0.43931035  0.04615009],-63.91022316,0.737817716,1,-1,0,,-25.51452391,,,,-39.53599456,,-39.34618674,
0,2,12,3.64074707,[ 166.30699916  254.85959765   29.53709137],[-0.97133762 -0.22939854  0.0622859 ],76.71206413,0.843916896,0,-1,0,,-2.803940212,,,,-3.578150166,,-3.483727492,
0,3,12,3.409576416,[ 130.14298501  323.74513314   23.71805773],[-0.82641853  0.5617386   0.03849878],-55.79501386,0.677658792,1,-1,0,,-1.492864786,,,,-2.556132824,,-2.529055686,
0,4,3,1.912689209,[  90.4208217   329.96290387   27.47187874],[-0.88980342  0.45437582  0.04233785],-62.9489886,0.784910821,1,-1,0,,-1.042829529,,,,-1.636587124,,-1.630558189,
0,5,6,1.630401611,[  75.3551708   161.02667291   23.6775854 ],[-0.73785635 -0.67415699  0.03286881],47.58300069,0.67650244,1,-1,0,,-0.530660747,,,,-0.988911328,,-0.917559892,
0,6,9,1.594543457,[  84.96172249  257.60287081   24.0277512 ],[-0.99279028 -0.11126676  0.04457771],83.60527303,0.686507177,1,-1,0,,-1.416947235,,,,-1.594535949,,-1.558727064,
0,7,12,0.567626953,[ 145.59677419  274.72177419   26.        ],[-0.99084195  0.12503599  0.05097292],-82.80776663,0.742857143,1,-1,0,,-0.496560769,,,,-0.567460347,,-0.553868475,
0,8,9,0.566864014,[  88.69448183  213.09152086   19.75370121],[-0.89250629 -0.44949144  0.03728229],63.26888068,0.564391463,1,-1,0,,-0.311886226,,,,-0.487412445,,-0.485452997,
0,9,3,0.374603271,[ 124.27087576  296.81059063   27.48879837],[-0.94545559  0.32224805  0.04764368],-71.1788926,0.785394239,1,-1,0,,-0.253750857,,,,-0.354239963,,-0.347689808,
0,10,9,0.360870361,[ 152.46300211  318.22410148   28.53911205],[-0.75467952  0.65473065  0.04226812],-49.05636185,0.815403201,1,-1,0,,-0.12438613,,,,-0.228566914,,-0.215741811,
