,cluster_number,lesion_label,lesion_volume,lesion_centroid,RLoc,angleA,heightR,critical_index,sign,Alarm,,,,,atan,,
0,6,19,0.612754559,[ 276.46153846   94.04347826   13.95317726],[-0.3603334  -0.93282281 -0.00120352],21.12068856,0.436036789,0,-1,0,,-0.091289636,,,-0.054138017,,
0,7,2,0.252752717,[ 274.39459459  101.54864865   16.49459459],[ -3.74876135e-01  -9.27074857e-01   3.03433647e-04],22.01665853,0.515456081,0,-1,0,,-0.040731083,,,-0.024179402,,
0,Cont12,,,,,,,,,,,0,0.287226789,,0,0.156415893,
0,1,7,1.724242598,[ 315.19608971  185.16101208   21.3266245 ],[ 0.14851118 -0.9885952   0.02497903],-8.543342998,0.761665161,0,1,0,,0.043924111,,,0.047530581,,
0,2,19,0.232014243,[ 320.13247863  198.04700855   22.47435897],[ 0.20475217 -0.97823274  0.03372318],-11.82181256,0.802655678,0,1,0,,0.011228473,,,0.008720729,,
0,3,19,0.212183965,[ 314.41121495  170.70560748   21.61214953],[ 0.11166008 -0.99353842  0.02033294],-6.412352089,0.771862483,0,1,0,,0.003056487,,,0.004774076,,
0,CONT13,,,,,,,,,,,0,0.058209071,,0,0.061025387,
0,1,7,4.888812924,[ 154.85175258  260.82          7.70556701],[-0.97279896  0.23155145  0.00678994],-76.61125646,0.275198822,0,-1,0,,-4.80233665,,,-4.675969466,,
0,2,2,1.772068685,[ 153.38680319  411.30602958   14.62457338],[-0.31628727  0.94865279  0.00449993],-18.43873606,0.522306192,0,-1,0,,-0.20375999,,,-0.122968546,,
0,3,19,0.731809935,[ 135.6446281   279.09090909    6.84435262],[-0.9229804   0.38479306  0.00644014],-67.36861081,0.244441165,0,-1,0,,-0.665058764,,,-0.657904478,,
0,4,2,0.233856618,[ 161.4612069   395.18965517   19.45689655],[-0.32598058  0.94534725  0.00743221],-19.02553928,0.694889163,0,-1,0,,-0.028554201,,,-0.017115753,,
0,5,19,0.232848616,[ 157.6017316   247.76623377    6.1991342 ],[-0.99533533  0.09631377  0.00558872],-84.47297332,0.22139765,0,-1,0,,-0.23280226,,,-0.228034887,,
